Designator,Mid X,Mid Y,Rotation,Layer
U37,92.8375,-81.97,90.0,bottom
U38,88.33,-81.8825,90.0,bottom
U39,92.825,-86.2,90.0,bottom
U4,57.2825,-86.195,90.0,bottom
U40,88.325,-86.19,90.0,bottom
U41,83.9625,-86.2,90.0,bottom
U42,79.65,-92.5125,90.0,bottom
U43,65.525,-92.5325,270.0,bottom
U5,52.8,-86.1875,90.0,bottom
U6,57.2775,-81.995,90.0,bottom
U7,52.805,-81.9775,90.0,bottom
U8,57.2825,-77.805,90.0,bottom
U9,52.81,-77.7775,90.0,bottom
Y1,73.17,-64.31,180.0,bottom
